tollgate_id,time_window,direction,volume,
"3","[2016-10-25 18:00:00,2016-10-25 18:20:00)","1","74.065"
"3","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","89.4997"
"2","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","56.6633"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","1","83.3452"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","0","23.9204"
"3","[2016-10-25 18:20:00,2016-10-25 18:40:00)","1","73.4092"
"3","[2016-10-25 18:20:00,2016-10-25 18:40:00)","0","80.703"
"2","[2016-10-25 18:20:00,2016-10-25 18:40:00)","0","52.0604"
"1","[2016-10-25 18:40:00,2016-10-25 19:00:00)","1","69.4926"
"1","[2016-10-25 18:40:00,2016-10-25 19:00:00)","0","21.7748"
"3","[2016-10-25 18:40:00,2016-10-25 19:00:00)","1","72.5285"
"3","[2016-10-25 18:40:00,2016-10-25 19:00:00)","0","67.0056"
"2","[2016-10-25 18:40:00,2016-10-25 19:00:00)","0","45.7452"
"1","[2016-10-26 08:00:00,2016-10-26 08:20:00)","1","99.4057"
"1","[2016-10-26 08:00:00,2016-10-26 08:20:00)","0","52.4977"
"3","[2016-10-26 08:00:00,2016-10-26 08:20:00)","1","90.9504"
"3","[2016-10-26 08:00:00,2016-10-26 08:20:00)","0","156.947"
"2","[2016-10-26 08:00:00,2016-10-26 08:20:00)","0","105.779"
"1","[2016-10-26 08:20:00,2016-10-26 08:40:00)","1","102.825"
"1","[2016-10-26 08:20:00,2016-10-26 08:40:00)","0","59.5567"
"3","[2016-10-26 08:20:00,2016-10-26 08:40:00)","1","97.0663"
"3","[2016-10-26 08:20:00,2016-10-26 08:40:00)","0","157.966"
"2","[2016-10-26 08:20:00,2016-10-26 08:40:00)","0","106.012"
"1","[2016-10-26 08:40:00,2016-10-26 09:00:00)","1","104.898"
"1","[2016-10-26 08:40:00,2016-10-26 09:00:00)","0","57.9034"
"3","[2016-10-26 08:40:00,2016-10-26 09:00:00)","1","108.066"
"3","[2016-10-26 08:40:00,2016-10-26 09:00:00)","0","151.659"
"2","[2016-10-26 08:40:00,2016-10-26 09:00:00)","0","103.125"
"1","[2016-10-26 09:00:00,2016-10-26 09:20:00)","1","109.443"
"1","[2016-10-26 09:00:00,2016-10-26 09:20:00)","0","55.4519"
"3","[2016-10-26 09:00:00,2016-10-26 09:20:00)","1","101.771"
"3","[2016-10-26 09:00:00,2016-10-26 09:20:00)","0","149.333"
"2","[2016-10-26 09:00:00,2016-10-26 09:20:00)","0","98.9274"
"1","[2016-10-26 09:20:00,2016-10-26 09:40:00)","1","120.693"
"1","[2016-10-26 09:20:00,2016-10-26 09:40:00)","0","42.4663"
"3","[2016-10-26 09:20:00,2016-10-26 09:40:00)","1","116.797"
"3","[2016-10-26 09:20:00,2016-10-26 09:40:00)","0","137.766"
"2","[2016-10-26 09:20:00,2016-10-26 09:40:00)","0","89.2633"
"1","[2016-10-26 09:40:00,2016-10-26 10:00:00)","1","119.082"
"1","[2016-10-26 09:40:00,2016-10-26 10:00:00)","0","42.6932"
"3","[2016-10-26 09:40:00,2016-10-26 10:00:00)","1","98.7935"
"3","[2016-10-26 09:40:00,2016-10-26 10:00:00)","0","121.521"
"2","[2016-10-26 09:40:00,2016-10-26 10:00:00)","0","72.8762"
"1","[2016-10-26 17:00:00,2016-10-26 17:20:00)","1","108.25"
"1","[2016-10-26 17:00:00,2016-10-26 17:20:00)","0","37.5804"
"3","[2016-10-26 17:00:00,2016-10-26 17:20:00)","1","80.0597"
"3","[2016-10-26 17:00:00,2016-10-26 17:20:00)","0","125.416"
"2","[2016-10-26 17:00:00,2016-10-26 17:20:00)","0","78.2617"
"1","[2016-10-26 17:20:00,2016-10-26 17:40:00)","1","118.365"
"1","[2016-10-26 17:20:00,2016-10-26 17:40:00)","0","34.5182"
"3","[2016-10-26 17:20:00,2016-10-26 17:40:00)","1","86.275"
"3","[2016-10-26 17:20:00,2016-10-26 17:40:00)","0","119.584"
"2","[2016-10-26 17:20:00,2016-10-26 17:40:00)","0","73.4328"
"1","[2016-10-26 17:40:00,2016-10-26 18:00:00)","1","123.719"
"1","[2016-10-26 17:40:00,2016-10-26 18:00:00)","0","27.2427"
"3","[2016-10-26 17:40:00,2016-10-26 18:00:00)","1","91.4264"
"3","[2016-10-26 17:40:00,2016-10-26 18:00:00)","0","105.902"
"2","[2016-10-26 17:40:00,2016-10-26 18:00:00)","0","66.5047"
"1","[2016-10-26 18:00:00,2016-10-26 18:20:00)","1","73.079"
"1","[2016-10-26 18:00:00,2016-10-26 18:20:00)","0","25.881"
"3","[2016-10-26 18:00:00,2016-10-26 18:20:00)","1","69.489"
"3","[2016-10-26 18:00:00,2016-10-26 18:20:00)","0","90.1641"
"2","[2016-10-26 18:00:00,2016-10-26 18:20:00)","0","57.145"
"1","[2016-10-26 18:20:00,2016-10-26 18:40:00)","1","82.6464"
"1","[2016-10-26 18:20:00,2016-10-26 18:40:00)","0","25.9367"
"3","[2016-10-26 18:20:00,2016-10-26 18:40:00)","1","72.2999"
"3","[2016-10-26 18:20:00,2016-10-26 18:40:00)","0","79.5988"
"2","[2016-10-26 18:20:00,2016-10-26 18:40:00)","0","52.9116"
"1","[2016-10-26 18:40:00,2016-10-26 19:00:00)","1","70.8274"
"1","[2016-10-26 18:40:00,2016-10-26 19:00:00)","0","23.5814"
"3","[2016-10-26 18:40:00,2016-10-26 19:00:00)","1","70.8587"
"3","[2016-10-26 18:40:00,2016-10-26 19:00:00)","0","66.7387"
"2","[2016-10-26 18:40:00,2016-10-26 19:00:00)","0","47.7474"
"1","[2016-10-27 08:00:00,2016-10-27 08:20:00)","1","89.8574"
"1","[2016-10-27 08:00:00,2016-10-27 08:20:00)","0","40.3423"
"3","[2016-10-27 08:00:00,2016-10-27 08:20:00)","1","96.5547"
"3","[2016-10-27 08:00:00,2016-10-27 08:20:00)","0","150.857"
"2","[2016-10-27 08:00:00,2016-10-27 08:20:00)","0","103.628"
"1","[2016-10-27 08:20:00,2016-10-27 08:40:00)","1","93.1881"
"1","[2016-10-27 08:20:00,2016-10-27 08:40:00)","0","46.1198"
"3","[2016-10-27 08:20:00,2016-10-27 08:40:00)","1","103.136"
"3","[2016-10-27 08:20:00,2016-10-27 08:40:00)","0","152.085"
"2","[2016-10-27 08:20:00,2016-10-27 08:40:00)","0","105.718"
"1","[2016-10-27 08:40:00,2016-10-27 09:00:00)","1","95.3144"
"1","[2016-10-27 08:40:00,2016-10-27 09:00:00)","0","43.2954"
"3","[2016-10-27 08:40:00,2016-10-27 09:00:00)","1","114.45"
"3","[2016-10-27 08:40:00,2016-10-27 09:00:00)","0","146.334"
"2","[2016-10-27 08:40:00,2016-10-27 09:00:00)","0","104.021"
"1","[2016-10-27 09:00:00,2016-10-27 09:20:00)","1","99.4083"
"1","[2016-10-27 09:00:00,2016-10-27 09:20:00)","0","42.5938"
"3","[2016-10-27 09:00:00,2016-10-27 09:20:00)","1","107.217"
"3","[2016-10-27 09:00:00,2016-10-27 09:20:00)","0","147.287"
"2","[2016-10-27 09:00:00,2016-10-27 09:20:00)","0","99.1168"
"1","[2016-10-27 09:20:00,2016-10-27 09:40:00)","1","110.015"
"1","[2016-10-27 09:20:00,2016-10-27 09:40:00)","0","39.875"
"3","[2016-10-27 09:20:00,2016-10-27 09:40:00)","1","122.624"
"3","[2016-10-27 09:20:00,2016-10-27 09:40:00)","0","129.841"
"2","[2016-10-27 09:20:00,2016-10-27 09:40:00)","0","88.4727"
"1","[2016-10-27 09:40:00,2016-10-27 10:00:00)","1","108.092"
"1","[2016-10-27 09:40:00,2016-10-27 10:00:00)","0","40.6579"
"3","[2016-10-27 09:40:00,2016-10-27 10:00:00)","1","106.98"
"3","[2016-10-27 09:40:00,2016-10-27 10:00:00)","0","119.944"
"2","[2016-10-27 09:40:00,2016-10-27 10:00:00)","0","71.4618"
"1","[2016-10-27 17:00:00,2016-10-27 17:20:00)","1","99.1506"
"1","[2016-10-27 17:00:00,2016-10-27 17:20:00)","0","38.4218"
"3","[2016-10-27 17:00:00,2016-10-27 17:20:00)","1","90.9035"
"3","[2016-10-27 17:00:00,2016-10-27 17:20:00)","0","116.125"
"2","[2016-10-27 17:00:00,2016-10-27 17:20:00)","0","73.6107"
"1","[2016-10-27 17:20:00,2016-10-27 17:40:00)","1","108.059"
"1","[2016-10-27 17:20:00,2016-10-27 17:40:00)","0","33.8755"
"3","[2016-10-27 17:20:00,2016-10-27 17:40:00)","1","96.5442"
"3","[2016-10-27 17:20:00,2016-10-27 17:40:00)","0","113.628"
"2","[2016-10-27 17:20:00,2016-10-27 17:40:00)","0","69.1408"
"1","[2016-10-27 17:40:00,2016-10-27 18:00:00)","1","114.144"
"1","[2016-10-27 17:40:00,2016-10-27 18:00:00)","0","27.2633"
"3","[2016-10-27 17:40:00,2016-10-27 18:00:00)","1","101.065"
"3","[2016-10-27 17:40:00,2016-10-27 18:00:00)","0","100.624"
"2","[2016-10-27 17:40:00,2016-10-27 18:00:00)","0","63.8645"
"1","[2016-10-27 18:00:00,2016-10-27 18:20:00)","1","68.1901"
"1","[2016-10-27 18:00:00,2016-10-27 18:20:00)","0","25.7131"
"3","[2016-10-27 18:00:00,2016-10-27 18:20:00)","1","79.6044"
"3","[2016-10-27 18:00:00,2016-10-27 18:20:00)","0","83.3319"
"2","[2016-10-27 18:00:00,2016-10-27 18:20:00)","0","56.4403"
"1","[2016-10-27 18:20:00,2016-10-27 18:40:00)","1","76.6119"
"1","[2016-10-27 18:20:00,2016-10-27 18:40:00)","0","25.1813"
"3","[2016-10-27 18:20:00,2016-10-27 18:40:00)","1","82.238"
"3","[2016-10-27 18:20:00,2016-10-27 18:40:00)","0","70.5464"
"2","[2016-10-27 18:20:00,2016-10-27 18:40:00)","0","50.8801"
"1","[2016-10-27 18:40:00,2016-10-27 19:00:00)","1","65.6515"
"1","[2016-10-27 18:40:00,2016-10-27 19:00:00)","0","23.0748"
"3","[2016-10-27 18:40:00,2016-10-27 19:00:00)","1","79.2703"
"3","[2016-10-27 18:40:00,2016-10-27 19:00:00)","0","61.2549"
"2","[2016-10-27 18:40:00,2016-10-27 19:00:00)","0","46.5243"
"1","[2016-10-28 08:00:00,2016-10-28 08:20:00)","1","118.582"
"1","[2016-10-28 08:00:00,2016-10-28 08:20:00)","0","50.1701"
"3","[2016-10-28 08:00:00,2016-10-28 08:20:00)","1","97.0742"
"3","[2016-10-28 08:00:00,2016-10-28 08:20:00)","0","151.299"
"2","[2016-10-28 08:00:00,2016-10-28 08:20:00)","0","96.9081"
"1","[2016-10-28 08:20:00,2016-10-28 08:40:00)","1","121.328"
"1","[2016-10-28 08:20:00,2016-10-28 08:40:00)","0","57.3016"
"3","[2016-10-28 08:20:00,2016-10-28 08:40:00)","1","103.603"
"3","[2016-10-28 08:20:00,2016-10-28 08:40:00)","0","152.626"
"2","[2016-10-28 08:20:00,2016-10-28 08:40:00)","0","98.6383"
"1","[2016-10-28 08:40:00,2016-10-28 09:00:00)","1","123.192"
"1","[2016-10-28 08:40:00,2016-10-28 09:00:00)","0","55.8185"
"3","[2016-10-28 08:40:00,2016-10-28 09:00:00)","1","114.938"
"3","[2016-10-28 08:40:00,2016-10-28 09:00:00)","0","147.376"
"2","[2016-10-28 08:40:00,2016-10-28 09:00:00)","0","98.2288"
"1","[2016-10-28 09:00:00,2016-10-28 09:20:00)","1","129.011"
"1","[2016-10-28 09:00:00,2016-10-28 09:20:00)","0","52.5802"
"3","[2016-10-28 09:00:00,2016-10-28 09:20:00)","1","107.679"
"3","[2016-10-28 09:00:00,2016-10-28 09:20:00)","0","147.468"
"2","[2016-10-28 09:00:00,2016-10-28 09:20:00)","0","94.3861"
"1","[2016-10-28 09:20:00,2016-10-28 09:40:00)","1","127.21"
"1","[2016-10-28 09:20:00,2016-10-28 09:40:00)","0","54.5932"
"3","[2016-10-28 09:20:00,2016-10-28 09:40:00)","1","104.764"
"3","[2016-10-28 09:20:00,2016-10-28 09:40:00)","0","145.259"
"2","[2016-10-28 09:20:00,2016-10-28 09:40:00)","0","109.368"
"1","[2016-10-28 09:40:00,2016-10-28 10:00:00)","1","128.711"
"1","[2016-10-28 09:40:00,2016-10-28 10:00:00)","0","53.1306"
"3","[2016-10-28 09:40:00,2016-10-28 10:00:00)","1","98.2731"
"3","[2016-10-28 09:40:00,2016-10-28 10:00:00)","0","119.248"
"2","[2016-10-28 09:40:00,2016-10-28 10:00:00)","0","92.0497"
"1","[2016-10-28 17:00:00,2016-10-28 17:20:00)","1","116.373"
"1","[2016-10-28 17:00:00,2016-10-28 17:20:00)","0","50.9911"
"3","[2016-10-28 17:00:00,2016-10-28 17:20:00)","1","91.0163"
"3","[2016-10-28 17:00:00,2016-10-28 17:20:00)","0","141.919"
"2","[2016-10-28 17:00:00,2016-10-28 17:20:00)","0","97.0158"
"1","[2016-10-28 17:20:00,2016-10-28 17:40:00)","1","129.428"
"1","[2016-10-28 17:20:00,2016-10-28 17:40:00)","0","49.1983"
"3","[2016-10-28 17:20:00,2016-10-28 17:40:00)","1","92.0999"
"3","[2016-10-28 17:20:00,2016-10-28 17:40:00)","0","128.354"
"2","[2016-10-28 17:20:00,2016-10-28 17:40:00)","0","89.0748"
"1","[2016-10-28 17:40:00,2016-10-28 18:00:00)","1","133.233"
"1","[2016-10-28 17:40:00,2016-10-28 18:00:00)","0","47.1207"
"3","[2016-10-28 17:40:00,2016-10-28 18:00:00)","1","93.3901"
"3","[2016-10-28 17:40:00,2016-10-28 18:00:00)","0","115.712"
"2","[2016-10-28 17:40:00,2016-10-28 18:00:00)","0","77.1334"
"1","[2016-10-28 18:00:00,2016-10-28 18:20:00)","1","81.645"
"1","[2016-10-28 18:00:00,2016-10-28 18:20:00)","0","43.7139"
"3","[2016-10-28 18:00:00,2016-10-28 18:20:00)","1","76.2249"
"3","[2016-10-28 18:00:00,2016-10-28 18:20:00)","0","102.275"
"2","[2016-10-28 18:00:00,2016-10-28 18:20:00)","0","62.8242"
"1","[2016-10-28 18:20:00,2016-10-28 18:40:00)","1","91.4965"
"1","[2016-10-28 18:20:00,2016-10-28 18:40:00)","0","44.0405"
"3","[2016-10-28 18:20:00,2016-10-28 18:40:00)","1","79.0399"
"3","[2016-10-28 18:20:00,2016-10-28 18:40:00)","0","95.2733"
"2","[2016-10-28 18:20:00,2016-10-28 18:40:00)","0","59.7744"
"1","[2016-10-28 18:40:00,2016-10-28 19:00:00)","1","76.4431"
"1","[2016-10-28 18:40:00,2016-10-28 19:00:00)","0","37.924"
"3","[2016-10-28 18:40:00,2016-10-28 19:00:00)","1","71.7744"
"3","[2016-10-28 18:40:00,2016-10-28 19:00:00)","0","80.1834"
"2","[2016-10-28 18:40:00,2016-10-28 19:00:00)","0","52.6958"
"1","[2016-10-29 08:00:00,2016-10-29 08:20:00)","1","86.275"
"1","[2016-10-29 08:00:00,2016-10-29 08:20:00)","0","48.4528"
"3","[2016-10-29 08:00:00,2016-10-29 08:20:00)","1","89.1225"
"3","[2016-10-29 08:00:00,2016-10-29 08:20:00)","0","117.632"
"2","[2016-10-29 08:00:00,2016-10-29 08:20:00)","0","80.0804"
"1","[2016-10-29 08:20:00,2016-10-29 08:40:00)","1","90.9558"
"1","[2016-10-29 08:20:00,2016-10-29 08:40:00)","0","55.2062"
"3","[2016-10-29 08:20:00,2016-10-29 08:40:00)","1","94.7397"
"3","[2016-10-29 08:20:00,2016-10-29 08:40:00)","0","121.031"
"2","[2016-10-29 08:20:00,2016-10-29 08:40:00)","0","84.5302"
"1","[2016-10-29 08:40:00,2016-10-29 09:00:00)","1","91.9808"
"1","[2016-10-29 08:40:00,2016-10-29 09:00:00)","0","53.3131"
"3","[2016-10-29 08:40:00,2016-10-29 09:00:00)","1","105.769"
"3","[2016-10-29 08:40:00,2016-10-29 09:00:00)","0","123.2"
"2","[2016-10-29 08:40:00,2016-10-29 09:00:00)","0","84.8139"
"1","[2016-10-29 09:00:00,2016-10-29 09:20:00)","1","96.0938"
"1","[2016-10-29 09:00:00,2016-10-29 09:20:00)","0","51.0176"
"3","[2016-10-29 09:00:00,2016-10-29 09:20:00)","1","100.099"
"3","[2016-10-29 09:00:00,2016-10-29 09:20:00)","0","136.414"
"2","[2016-10-29 09:00:00,2016-10-29 09:20:00)","0","78.2888"
"1","[2016-10-29 09:20:00,2016-10-29 09:40:00)","1","105.936"
"1","[2016-10-29 09:20:00,2016-10-29 09:40:00)","0","46.8151"
"3","[2016-10-29 09:20:00,2016-10-29 09:40:00)","1","98.0457"
"3","[2016-10-29 09:20:00,2016-10-29 09:40:00)","0","126.3"
"2","[2016-10-29 09:20:00,2016-10-29 09:40:00)","0","82.38"
"1","[2016-10-29 09:40:00,2016-10-29 10:00:00)","1","104.674"
"1","[2016-10-29 09:40:00,2016-10-29 10:00:00)","0","46.3704"
"3","[2016-10-29 09:40:00,2016-10-29 10:00:00)","1","89.4045"
"3","[2016-10-29 09:40:00,2016-10-29 10:00:00)","0","126.199"
"2","[2016-10-29 09:40:00,2016-10-29 10:00:00)","0","71.5442"
"1","[2016-10-29 17:00:00,2016-10-29 17:20:00)","1","92.9207"
"1","[2016-10-29 17:00:00,2016-10-29 17:20:00)","0","44.0715"
"3","[2016-10-29 17:00:00,2016-10-29 17:20:00)","1","77.8027"
"3","[2016-10-29 17:00:00,2016-10-29 17:20:00)","0","110.657"
"2","[2016-10-29 17:00:00,2016-10-29 17:20:00)","0","75.9887"
"1","[2016-10-29 17:20:00,2016-10-29 17:40:00)","1","105.936"
"1","[2016-10-29 17:20:00,2016-10-29 17:40:00)","0","40.8644"
"3","[2016-10-29 17:20:00,2016-10-29 17:40:00)","1","82.0977"
"3","[2016-10-29 17:20:00,2016-10-29 17:40:00)","0","111.574"
"2","[2016-10-29 17:20:00,2016-10-29 17:40:00)","0","70.2881"
"1","[2016-10-29 17:40:00,2016-10-29 18:00:00)","1","105.65"
"1","[2016-10-29 17:40:00,2016-10-29 18:00:00)","0","36.7725"
"3","[2016-10-29 17:40:00,2016-10-29 18:00:00)","1","84.9736"
"3","[2016-10-29 17:40:00,2016-10-29 18:00:00)","0","97.977"
"2","[2016-10-29 17:40:00,2016-10-29 18:00:00)","0","57.41"
"1","[2016-10-29 18:00:00,2016-10-29 18:20:00)","1","64.2382"
"1","[2016-10-29 18:00:00,2016-10-29 18:20:00)","0","32.5915"
"3","[2016-10-29 18:00:00,2016-10-29 18:20:00)","1","68.0312"
"3","[2016-10-29 18:00:00,2016-10-29 18:20:00)","0","84.8764"
"2","[2016-10-29 18:00:00,2016-10-29 18:20:00)","0","45.0758"
"1","[2016-10-29 18:20:00,2016-10-29 18:40:00)","1","72.2996"
"1","[2016-10-29 18:20:00,2016-10-29 18:40:00)","0","32.0308"
"3","[2016-10-29 18:20:00,2016-10-29 18:40:00)","1","67.471"
"3","[2016-10-29 18:20:00,2016-10-29 18:40:00)","0","77.6857"
"2","[2016-10-29 18:20:00,2016-10-29 18:40:00)","0","43.7915"
"1","[2016-10-29 18:40:00,2016-10-29 19:00:00)","1","61.459"
"1","[2016-10-29 18:40:00,2016-10-29 19:00:00)","0","28.79"
"3","[2016-10-29 18:40:00,2016-10-29 19:00:00)","1","61.3855"
"3","[2016-10-29 18:40:00,2016-10-29 19:00:00)","0","70.2515"
"2","[2016-10-29 18:40:00,2016-10-29 19:00:00)","0","36.753"
"1","[2016-10-30 08:00:00,2016-10-30 08:20:00)","1","94.6849"
"1","[2016-10-30 08:00:00,2016-10-30 08:20:00)","0","70.3736"
"3","[2016-10-30 08:00:00,2016-10-30 08:20:00)","1","92.0911"
"3","[2016-10-30 08:00:00,2016-10-30 08:20:00)","0","120.44"
"2","[2016-10-30 08:00:00,2016-10-30 08:20:00)","0","28.8484"
"1","[2016-10-30 08:20:00,2016-10-30 08:40:00)","1","98.4668"
"1","[2016-10-30 08:20:00,2016-10-30 08:40:00)","0","78.6689"
"3","[2016-10-30 08:20:00,2016-10-30 08:40:00)","1","98.0694"
"3","[2016-10-30 08:20:00,2016-10-30 08:40:00)","0","123.594"
"2","[2016-10-30 08:20:00,2016-10-30 08:40:00)","0","33.8322"
"1","[2016-10-30 08:40:00,2016-10-30 09:00:00)","1","100.77"
"1","[2016-10-30 08:40:00,2016-10-30 09:00:00)","0","77.9333"
"3","[2016-10-30 08:40:00,2016-10-30 09:00:00)","1","109.416"
"3","[2016-10-30 08:40:00,2016-10-30 09:00:00)","0","124.803"
"2","[2016-10-30 08:40:00,2016-10-30 09:00:00)","0","36.7861"
"1","[2016-10-30 09:00:00,2016-10-30 09:20:00)","1","105.05"
"1","[2016-10-30 09:00:00,2016-10-30 09:20:00)","0","75.1967"
"3","[2016-10-30 09:00:00,2016-10-30 09:20:00)","1","103.265"
"3","[2016-10-30 09:00:00,2016-10-30 09:20:00)","0","137.316"
"2","[2016-10-30 09:00:00,2016-10-30 09:20:00)","0","36.6837"
"1","[2016-10-30 09:20:00,2016-10-30 09:40:00)","1","106.611"
"1","[2016-10-30 09:20:00,2016-10-30 09:40:00)","0","109.617"
"3","[2016-10-30 09:20:00,2016-10-30 09:40:00)","1","106.881"
"3","[2016-10-30 09:20:00,2016-10-30 09:40:00)","0","131.962"
"2","[2016-10-30 09:20:00,2016-10-30 09:40:00)","0","27.9044"
"1","[2016-10-30 09:40:00,2016-10-30 10:00:00)","1","104.525"
"1","[2016-10-30 09:40:00,2016-10-30 10:00:00)","0","105.787"
"3","[2016-10-30 09:40:00,2016-10-30 10:00:00)","1","106.459"
"3","[2016-10-30 09:40:00,2016-10-30 10:00:00)","0","123.788"
"2","[2016-10-30 09:40:00,2016-10-30 10:00:00)","0","26.5213"
"1","[2016-10-30 17:00:00,2016-10-30 17:20:00)","1","103.45"
"1","[2016-10-30 17:00:00,2016-10-30 17:20:00)","0","109.018"
"3","[2016-10-30 17:00:00,2016-10-30 17:20:00)","1","106.316"
"3","[2016-10-30 17:00:00,2016-10-30 17:20:00)","0","121.23"
"2","[2016-10-30 17:00:00,2016-10-30 17:20:00)","0","27.4998"
"1","[2016-10-30 17:20:00,2016-10-30 17:40:00)","1","115.833"
"1","[2016-10-30 17:20:00,2016-10-30 17:40:00)","0","91.714"
"3","[2016-10-30 17:20:00,2016-10-30 17:40:00)","1","109.416"
"3","[2016-10-30 17:20:00,2016-10-30 17:40:00)","0","112.777"
"2","[2016-10-30 17:20:00,2016-10-30 17:40:00)","0","23.0199"
"1","[2016-10-30 17:40:00,2016-10-30 18:00:00)","1","114.244"
"1","[2016-10-30 17:40:00,2016-10-30 18:00:00)","0","95.3978"
"3","[2016-10-30 17:40:00,2016-10-30 18:00:00)","1","109.911"
"3","[2016-10-30 17:40:00,2016-10-30 18:00:00)","0","104.279"
"2","[2016-10-30 17:40:00,2016-10-30 18:00:00)","0","22.1941"
"1","[2016-10-30 18:00:00,2016-10-30 18:20:00)","1","74.6371"
"1","[2016-10-30 18:00:00,2016-10-30 18:20:00)","0","85.4881"
"3","[2016-10-30 18:00:00,2016-10-30 18:20:00)","1","84.559"
"3","[2016-10-30 18:00:00,2016-10-30 18:20:00)","0","91.8339"
"2","[2016-10-30 18:00:00,2016-10-30 18:20:00)","0","19.3533"
"1","[2016-10-30 18:20:00,2016-10-30 18:40:00)","1","79.939"
"1","[2016-10-30 18:20:00,2016-10-30 18:40:00)","0","83.0398"
"3","[2016-10-30 18:20:00,2016-10-30 18:40:00)","1","90.4436"
"3","[2016-10-30 18:20:00,2016-10-30 18:40:00)","0","85.8756"
"2","[2016-10-30 18:20:00,2016-10-30 18:40:00)","0","18.613"
"1","[2016-10-30 18:40:00,2016-10-30 19:00:00)","1","70.6646"
"1","[2016-10-30 18:40:00,2016-10-30 19:00:00)","0","71.2435"
"3","[2016-10-30 18:40:00,2016-10-30 19:00:00)","1","77.3656"
"3","[2016-10-30 18:40:00,2016-10-30 19:00:00)","0","78.3557"
"2","[2016-10-30 18:40:00,2016-10-30 19:00:00)","0","15.0886"
"1","[2016-10-31 08:00:00,2016-10-31 08:20:00)","1","122.826"
"1","[2016-10-31 08:00:00,2016-10-31 08:20:00)","0","117.432"
